USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MD	24005402307	2229516	5914	0.861	0.002	39.3598663	-76.74994                                                                                                                                            
MD	24005402403	2046388	73619	0.79	0.028	39.331835	-76.7190897                                                                                                                                           
MD	24005402404	1694698	0	0.654	0.	39.3320711	-76.7319837                                                                                                                                                
MD	24005402405	1412618	0	0.545	0.	39.3239409	-76.7369871                                                                                                                                                
MD	24005402406	2257281	15211	0.872	0.006	39.3279915	-76.7685322                                                                                                                                         
MD	24005402407	6486685	4406	2.505	0.002	39.3409735	-76.7715201                                                                                                                                          
MD	24005402503	4854822	12184	1.874	0.005	39.3570548	-76.8041592                                                                                                                                         
MD	24005402504	7960316	12490	3.073	0.005	39.3656662	-76.8332106                                                                                                                                         
MD	24005402505	1250644	1753	0.483	0.001	39.380111	-76.8137515                                                                                                                                           
MD	24005402506	2282613	2042	0.881	0.001	39.3774726	-76.800525                                                                                                                                           
MD	24005402509	3676837	18183	1.42	0.007	39.3923409	-76.7987733                                                                                                                                          
MD	24005402602	1237874	0	0.478	0.	39.3671621	-76.7805135                                                                                                                                                
MD	24005402603	6058585	35561	2.339	0.014	39.3851197	-76.7703009                                                                                                                                         
MD	24005402604	3629402	0	1.401	0.	39.3729254	-76.7674222                                                                                                                                                
MD	24005403100	1913596	0	0.739	0.	39.353095	-76.7333148                                                                                                                                                 
MD	24005403201	1764538	0	0.681	0.	39.3549038	-76.7215235                                                                                                                                                
MD	24005403202	1165728	0	0.45	0.	39.3432678	-76.7173005                                                                                                                                                 
MD	24005403300	1721044	4597	0.664	0.002	39.3660523	-76.7353449                                                                                                                                          
MD	24005403401	1813726	0	0.7	0.	39.3760649	-76.7321884                                                                                                                                                  
MD	24005403402	3585772	35807	1.384	0.014	39.3741504	-76.7168009                                                                                                                                         
MD	24005403500	3125777	0	1.207	0.	39.3775774	-76.6978235                                                                                                                                                
MD	24005403601	2749137	2126	1.061	0.001	39.3852452	-76.6709775                                                                                                                                          
MD	24005403602	2754966	0	1.064	0.	39.3777775	-76.6642845                                                                                                                                                
MD	24005403701	11343249	17044	4.38	0.007	39.4108441	-76.7412314                                                                                                                                         
MD	24005403702	6327945	4978	2.443	0.002	39.391378	-76.757956                                                                                                                                            
MD	24005403801	11255974	11854	4.346	0.005	39.4337434	-76.7126826                                                                                                                                        
MD	24005403802	9661873	20705	3.73	0.008	39.40641	-76.7049403                                                                                                                                            
MD	24005403803	5771919	4312	2.229	0.002	39.3871806	-76.694422                                                                                                                                           
MD	24005404101	12749601	99020	4.923	0.038	39.4243285	-76.8202043                                                                                                                                        
MD	24005404102	4713528	0	1.82	0.	39.4231213	-76.7942606                                                                                                                                                 
MD	24005404201	2403389	0	0.928	0.	39.4436258	-76.7936264                                                                                                                                                
MD	24005404202	6875107	12176	2.654	0.005	39.4307616	-76.7717537                                                                                                                                         
MD	24005404402	10872299	9755	4.198	0.004	39.4741488	-76.7977129                                                                                                                                         
MD	24005404403	2302034	0	0.889	0.	39.4440222	-76.8184145                                                                                                                                                
MD	24005404404	4209566	11731	1.625	0.005	39.4703962	-76.8259698                                                                                                                                         
MD	24005404501	3099941	0	1.197	0.	39.4568558	-76.8128253                                                                                                                                                
MD	24005404502	1093758	0	0.422	0.	39.4467498	-76.8050378                                                                                                                                                
MD	24005404600	63298865	181804	24.44	0.07	39.5083225	-76.8146134                                                                                                                                        
MD	24005404800	22400568	1207650	8.649	0.466	39.454442	-76.8550132                                                                                                                                       
MD	24005404900	24881207	125186	9.607	0.048	39.4558229	-76.7436997                                                                                                                                       
MD	24005405000	121019277	3164584	46.726	1.222	39.5891874	-76.7735238                                                                                                                                    
MD	24005406000	93358312	2414792	36.046	0.932	39.6806375	-76.736502                                                                                                                                      
MD	24005407001	49878727	238213	19.258	0.092	39.6045199	-76.6762169                                                                                                                                      
MD	24005407002	97179515	185575	37.521	0.072	39.6777876	-76.6167754                                                                                                                                      
MD	24005408100	25976615	296532	10.03	0.114	39.5321363	-76.6402639                                                                                                                                       
MD	24005408200	43326829	217664	16.729	0.084	39.5158203	-76.6987505                                                                                                                                      
MD	24005408302	10923897	31545	4.218	0.012	39.4371429	-76.6759956                                                                                                                                        
MD	24005408303	14620168	37743	5.645	0.015	39.4687247	-76.7121989                                                                                                                                        
MD	24005408304	16644802	25735	6.427	0.01	39.4700629	-76.6919322                                                                                                                                         
MD	24005408400	9960313	67816	3.846	0.026	39.4815609	-76.6522133                                                                                                                                         
MD	24005408502	13031063	2797121	5.031	1.08	39.4567465	-76.5937653                                                                                                                                       
MD	24005408503	2087842	12985	0.806	0.005	39.4607993	-76.6214632                                                                                                                                         
MD	24005408505	4061575	5404	1.568	0.002	39.4487877	-76.6217156                                                                                                                                          
MD	24005408506	1885541	0	0.728	0.	39.4707318	-76.6089015                                                                                                                                                
MD	24005408507	1725397	2405	0.666	0.001	39.4652401	-76.6214319                                                                                                                                          
MD	24005408601	2473658	0	0.955	0.	39.4388041	-76.6148696                                                                                                                                                
MD	24005408602	1719972	0	0.664	0.	39.4272664	-76.6106195                                                                                                                                                
MD	24005408702	2214259	0	0.855	0.	39.4153592	-76.6459383                                                                                                                                                
MD	24005408703	3914610	7895	1.511	0.003	39.4461907	-76.6487871                                                                                                                                          
MD	24005408704	5487573	1117	2.119	0.	39.4267448	-76.6525388                                                                                                                                             
MD	24005408800	2937649	0	1.134	0.	39.4273663	-76.6286048                                                                                                                                                
MD	24005408900	8530321	272253	3.294	0.105	39.4868209	-76.6285734                                                                                                                                        
MD	24005410100	93682282	1707231	36.171	0.659	39.5608448	-76.5865667                                                                                                                                     
MD	24005410200	33646881	2093363	12.991	0.808	39.5017859	-76.5408127                                                                                                                                     
MD	24005411101	21198342	211102	8.185	0.082	39.4510953	-76.4477232                                                                                                                                       
MD	24005411102	24715291	541507	9.543	0.209	39.429154	-76.4038779                                                                                                                                        
MD	24005411201	36898578	49963	14.247	0.019	39.4895242	-76.4776298                                                                                                                                       
