lat,lng,comment
39.61,-78.761,
39.61,-78.76,
39.61,-78.76,
39.61,-78.759,
39.61,-78.759,
39.61,-78.759,
39.61,-78.759,
39.61,-78.758,
39.61,-78.757,
39.61,-78.757,
39.61,-78.756,
39.61,-78.756,
39.61,-78.756,
39.61,-78.755,
39.61,-78.754,
39.61,-78.754,
39.61,-78.754,
39.61,-78.753,
39.61,-78.753,
39.61,-78.753,
39.61,-78.752,
39.61,-78.752,
39.609,-78.751,
39.609,-78.751,
39.609,-78.751,
39.609,-78.751,
39.608,-78.75,
39.608,-78.75,
39.607,-78.75,
39.607,-78.75,
39.606,-78.75,
39.606,-78.75,
39.606,-78.749,
39.605,-78.749,
39.605,-78.749,
39.605,-78.748,
39.605,-78.747,
39.605,-78.747,
39.605,-78.747,
39.605,-78.747,
39.605,-78.746,
39.605,-78.746,
39.606,-78.746,
39.607,-78.745,
39.608,-78.744,
39.608,-78.744,
39.608,-78.743,
39.608,-78.743,
39.608,-78.742,
39.608,-78.742,
39.608,-78.742,
39.608,-78.742,
39.608,-78.741,
39.608,-78.74,
39.608,-78.74,
39.609,-78.739,
39.609,-78.739,
39.609,-78.738,
39.61,-78.738,
39.61,-78.737,
39.611,-78.737,
39.611,-78.736,
39.612,-78.735,
39.613,-78.734,
39.613,-78.733,
39.614,-78.733,
39.614,-78.733,
39.615,-78.732,
39.615,-78.732,
39.616,-78.732,
39.616,-78.733,
39.617,-78.733,
39.617,-78.733,
39.617,-78.733,
39.617,-78.733,
39.618,-78.733,
39.618,-78.733,
39.618,-78.733,
39.619,-78.733,
39.619,-78.733,
39.62,-78.734,
39.62,-78.734,
39.62,-78.734,
39.622,-78.735,
39.623,-78.736,
39.623,-78.736,
39.623,-78.737,
39.624,-78.737,
39.624,-78.737,
39.624,-78.738,
39.624,-78.738,
39.624,-78.739,
39.624,-78.739,
39.625,-78.74,
39.625,-78.74,
39.625,-78.741,
39.626,-78.742,
39.626,-78.743,
39.626,-78.744,
39.627,-78.744,
39.627,-78.745,
39.627,-78.746,
39.627,-78.746,
39.627,-78.747,
39.627,-78.747,
39.627,-78.747,
39.627,-78.748,
39.627,-78.748,
39.627,-78.748,
39.627,-78.749,
39.627,-78.749,
39.627,-78.749,
39.627,-78.749,
39.627,-78.75,
39.627,-78.75,
39.627,-78.75,
39.626,-78.751,
39.626,-78.751,
39.626,-78.751,
39.626,-78.752,
39.626,-78.752,
39.626,-78.752,
39.625,-78.753,
39.625,-78.753,
39.625,-78.754,
39.625,-78.754,
39.624,-78.755,
39.624,-78.755,
39.624,-78.756,
39.624,-78.756,
39.624,-78.756,
39.624,-78.756,
39.624,-78.757,
39.623,-78.757,
39.623,-78.757,
39.623,-78.757,
39.623,-78.758,
39.622,-78.759,
39.621,-78.76,
39.621,-78.76,
39.621,-78.761,
39.621,-78.761,
39.62,-78.761,
39.62,-78.761,
39.62,-78.762,
39.62,-78.763,
39.619,-78.763,
39.619,-78.763,
39.619,-78.764,
39.619,-78.764,
39.62,-78.764,
39.62,-78.765,
39.62,-78.765,
39.62,-78.766,
39.621,-78.766,
39.621,-78.767,
39.621,-78.768,
39.621,-78.769,
39.622,-78.769,
39.622,-78.77,
39.622,-78.771,
39.622,-78.771,
39.622,-78.772,
39.622,-78.772,
39.622,-78.773,
39.622,-78.774,
39.622,-78.775,
39.622,-78.775,
39.622,-78.775,
39.622,-78.776,
39.622,-78.776,
39.622,-78.776,
39.622,-78.777,
39.623,-78.777,
39.624,-78.777,
39.624,-78.777,
39.624,-78.777,
39.625,-78.777,
39.625,-78.776,
39.626,-78.776,
39.626,-78.776,
39.627,-78.776,
39.627,-78.776,
39.627,-78.776,
39.628,-78.776,
39.628,-78.776,
39.629,-78.775,
39.629,-78.775,
39.629,-78.775,
39.63,-78.775,
39.63,-78.774,
39.631,-78.774,
39.632,-78.773,
39.633,-78.772,
